AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"LEGR23","LIGR3","Linanthus grandiflorus (Benth.) Greene","largeflower linanthus"
"LIPU11","","Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson","granite prickly phlox"
"LIBE3","","Lindera benzoin (L.) Blume","northern spicebush"
"LILE3","","Linum lewisii Pursh","Lewis flax"
"LIST","","Linum striatum Walter","ridged yellow flax"
"LIMI6","","Lippia micromera Schauer","Spanish thyme"
"LIST2","","Liquidambar styraciflua L.","sweetgum"
"LITU","","Liriodendron tulipifera L.","tuliptree"
"LIMU6","","Liriope muscari (Decne.) L.H. Bailey","big blue lilyturf"
"LICO5","","Listera convallarioides (Sw.) Nutt. ex Elliott","broadlipped twayblade"
"NODE3","LIDE3","Lithocarpus densiflorus (Hook. & Arn.) Rehder","tanoak"
"LIRU4","","Lithospermum ruderale Douglas ex Lehm.","western stoneseed"
"LOCA2","","Lobelia cardinalis L.","cardinalflower"
"SCAR7","LOAR10","Lolium arundinaceum (Schreb.) S.J. Darbyshire","tall fescue"
"LOPE","","Lolium perenne L.","perennial ryegrass"
"LOPEM2","","Lolium perenne L. ssp. multiflorum (Lam.) Husnot","Italian ryegrass"
"SCPR4","LOPR7","Lolium pratense (Huds.) S.J. Darbyshire","meadow fescue"
"LORI","","Lolium rigidum Gaudin","Wimmera ryegrass"
"LOCA4","","Lomatium canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose","Canby's biscuitroot"
"LOCO4","","Lomatium cous (S. Watson) J.M. Coult. & Rose","cous biscuitroot"
"LODI","","Lomatium dissectum (Nutt.) Mathias & Constance","fernleaf biscuitroot"
"LOMA3","","Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose","bigseed biscuitroot"
"LOTR2","","Lomatium triternatum (Pursh) J.M. Coult. & Rose","nineleaf biscuitroot"
"LOIN5","","Lonicera involucrata (Richardson) Banks ex Spreng.","twinberry honeysuckle"
"LOJA","","Lonicera japonica Thunb.","Japanese honeysuckle"
"LOMA6","","Lonicera maackii (Rupr.) Herder","Amur honeysuckle"
"LOSE","","Lonicera sempervirens L.","trumpet honeysuckle"
"LOTA","","Lonicera tatarica L.","Tatarian honeysuckle"
"LOUT2","","Lonicera utahensis S. Watson","Utah honeysuckle"
"LOCO6","","Lotus corniculatus L.","bird's-foot trefoil"
"LOCR","","Lotus crassifolius (Benth.) Greene","big deervetch"
"LOPE80","","Lotus pedunculatus Cav.","big trefoil"
"LOTE4","","Lotus tenuis Waldst. & Kit. ex Willd.","narrowleaf trefoil"
"LOWR","","Lotus wrightii (A. Gray) Greene","Wright's deervetch"
"LUDE4","","Ludwigia decurrens Walter","wingleaf primrose-willow"
"LUPA","","Ludwigia palustris (L.) Elliott","marsh seedbox"
"LUAL5","","Lupinus ×alpestris A. Nelson (pro sp.) [argenteus × caudatus]","Great Basin lupine"
"LUAL3","","Lupinus albicaulis Douglas","sicklekeel lupine"
"LUAL22","","Lupinus albus L.","white lupine"
"LUAN4","","Lupinus angustifolius L.","narrowleaf lupine"
"LUAR","","Lupinus arboreus Sims","yellow bush lupine"
"LUAR2","","Lupinus arcticus S. Watson","arctic lupine"
"LUAR3","","Lupinus argenteus Pursh","silvery lupine"
"LUCA","","Lupinus caudatus Kellogg","tailcup lupine"
"LUCO4","","Lupinus covillei Greene","shaggy lupine"
"LUEL4","","Lupinus elegans Kunth","elegant lupine"
"LUEL2","","Lupinus elmeri Greene","Elmer's lupine"
"LUHA","","Lupinus havardii S. Watson","Big Bend bluebonnet"
"LULA4","","Lupinus latifolius Lindl. ex J. Agardh","broadleaf lupine"
"LULE2","","Lupinus lepidus Douglas ex Lindl.","Pacific lupine"
"LULU2","","Lupinus luteolus Kellogg","pale yellow lupine"
"LULU80","","Lupinus luteus L.","European yellow lupine"
"LUNE","","Lupinus nevadensis A. Heller","Nevada lupine"
"LUNO","","Lupinus nootkatensis Donn ex Sims","Nootka lupine"
"LUSE4","","Lupinus sericeus Pursh","silky lupine"
"LUSU5","","Lupinus sulphureus Douglas ex Hook.","sulphur lupine"
"LUPA4","","Luzula parviflora (Ehrh.) Desv.","smallflowered woodrush"
"LUSP4","","Luzula spicata (L.) DC.","spiked woodrush"
"LYCA2","","Lycium carolinianum Walter","Carolina desert-thorn"
"LYPA","","Lycium pallidum Miers","pale desert-thorn"
"LYSA3","","Lycium sandwicense A. Gray","Hawai'i desert-thorn"
"LYAN2","","Lycopodium annotinum L.","stiff clubmoss"
"LYAM","","Lycopus americanus Muhl. ex W.P.C. Barton","American water horehound"
"LYAS","","Lycopus asper Greene","rough bugleweed"
"LYRU","","Lycopus rubellus Moench","taperleaf water horehound"
"LYVI4","","Lycopus virginicus L.","Virginia water horehound"
"LYLI","","Lyonia ligustrina (L.) DC.","maleberry"
"LYLU3","","Lyonia lucida (Lam.) K. Koch","fetterbush lyonia"
"LYLA","","Lysimachia lanceolata Walter","lanceleaf loosestrife"
"LYTH2","","Lysimachia thyrsiflora L.","tufted loosestrife"
"MABIB","","Machaeranthera bigelovii (A. Gray) Greene var. bigelovii ","Bigelow's tansyaster"
"MATA2","","Machaeranthera tanacetifolia (Kunth) Nees","tanseyleaf tansyaster"
"MAPO","","Maclura pomifera (Raf.) C.K. Schneid.","Osage-orange"
"MAAT80","","Macroptilium atropurpureum (Moc. & Sessé ex DC.) Urb.","purple bushbean"
"MASO9","","Magnolia ×soulangiana Soul.-Bod. [denudata × liliifolia]","Chinese magnolia"
"MAAC","","Magnolia acuminata (L.) L.","cucumber tree"
"MAFR","","Magnolia fraseri Walter","mountain magnolia"
"MAGR4","","Magnolia grandiflora L.","southern magnolia"
"MAPO2","","Magnolia portoricensis Bello","Puerto Rico magnolia"
"MAST6","","Magnolia stellata (Siebold & Zucc.) Maxim.","star magnolia"
"MATR","","Magnolia tripetala (L.) L.","umbrella-tree"
"MAVI2","","Magnolia virginiana L.","sweetbay"
"MAAQ2","","Mahonia aquifolium (Pursh) Nutt.","hollyleaved barberry"
"MANE2","","Mahonia nervosa (Pursh) Nutt.","Cascade barberry"
"MARE11","","Mahonia repens (Lindl.) G. Don","creeping barberry"
"MAFL80","","Malus floribunda Siebold ex Van Houtte","Japanese flowering crab apple"
"MAFU","","Malus fusca (Raf.) C.K. Schneid.","Oregon crab apple"
"MAIO","","Malus ioensis (Alph. Wood) Britton","prairie crab apple"
"MAMA37","","Malus mandshurica (Maxim.) Kom.","Manchurian crab apple"
"MASA9","","Malus sargentii Rehder","Sargent's apple"
"MATO6","MASI80","Malus sieboldii (Regel) Rehder","toringo crab"
"MAZU2","MASIZ","Malus sieboldii (Regel) Rehder var. zumi (Matsum.) Asami","o-zumi"
"MASY2","","Malus sylvestris (L.) Mill.","European crab apple"
"MATO6","","Malus toringo (Siebold) Siebold ex de Vriese","toringo crab"
"MAZU2","","Malus zumi (Matsum.) Rehder","o-zumi"
"MALUS","","Malus Mill.","apple"
"MAAM2","","Mammea americana L.","mammee apple"
"MAIN3","","Mangifera indica L.","mango"
"MAES","","Manihot esculenta Crantz","cassava"
"MABI5","","Manilkara bidentata (A. DC.) A. Chev","bulletwood"
"MAZA","","Manilkara zapota (L.) P. Royen","sapodilla"
"MAAN9","","Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.","roving sailor"
"MELU","","Medicago lupulina L.","black medick"
"MEPO3","","Medicago polymorpha L.","burclover"
"MESA","","Medicago sativa L.","alfalfa"
"MESC6","","Medicago scutellata (L.) Mill.","snail medick"
"MEAZ","","Melia azedarach L.","Chinaberrytree"
"MEBU","","Melica bulbosa Geyer ex Porter & J.M. Coult.","oniongrass"
"MECA2","","Melica californica Scribn.","California melicgrass"
"MEIM","","Melica imperfecta Trin.","smallflower melicgrass"
"MESP","","Melica spectabilis Scribn.","purple oniongrass"
"MESU","","Melica subulata (Griseb.) Scribn.","Alaska oniongrass"
"MEBI","","Melicoccus bijugatus Jacq.","Spanish lime"
"MEOF","MEAL12","Melilotus alba Medikus, orth. var. ","sweetclover"
"MEIN2","MEIN14","Melilotus indica (L.) All., orth. var. ","annual yellow sweetclover"
"MEIN2","","Melilotus indicus (L.) All.","annual yellow sweetclover"
"MEOF","","Melilotus officinalis (L.) Lam.","sweetclover"
"MESC","","Menodora scabra A. Gray","rough menodora"
"MEAR4","","Mentha arvensis L.","wild mint"
"MEDE2","","Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg","tenpetal blazingstar"
"METR3","","Menyanthes trifoliata L.","buckbean"
"MECI3","","Mertensia ciliata (James ex Torr.) G. Don","tall fringed bluebells"
"MEVI3","","Mertensia virginica (L.) Pers. ex Link","Virginia bluebells"
"MEGL8","","Metasequoia glyptostroboides Hu & W.C. Cheng","dawn redwood"
"MEPO5","","Metrosideros polymorpha Gaudich.","'ohi'a lehua"
"MINU","","Microseris nutans (Hook.) Sch. Bip.","nodding microseris"
"MISC","","Mikania scandens (L.) Willd.","climbing hempvine"
"MIAL2","","Mimulus alatus Aiton","sharpwing monkeyflower"
"MICA3","","Mimulus cardinalis Douglas ex Benth.","scarlet monkeyflower"
"MIDE3","","Mimulus dentatus Nutt. ex Benth.","coastal monkeyflower"
"MIGU","","Mimulus guttatus DC.","seep monkeyflower"
"MINA","","Mimulus nanus Hook. & Arn.","dwarf purple monkeyflower"
"MIPR","","Mimulus primuloides Benth.","primrose monkeyflower"
"MISU2","","Mimulus suksdorfii A. Gray","Suksdorf's monkeyflower"
"MIMU","","Mirabilis multiflora (Torr.) A. Gray","Colorado four o'clock"
"MISI","","Miscanthus sinensis Andersson","Chinese silvergrass"
"MOFI","","Monarda fistulosa L.","wild bergamot"
"MOFIM2","","Monarda fistulosa L. ssp. fistulosa var. menthifolia (Graham) Fernald","mintleaf bergamot"
"MONU","","Monolepis nuttalliana (Schult.) Greene","Nuttall's povertyweed"
"MOCA6","","Morella californica (Cham.) Wilbur","California wax myrtle"
"MOCA7","","Morella caroliniensis (Mill.) Small","southern bayberry"
"MOCE2","","Morella cerifera (L.) Small","wax myrtle"
"MOIN","","Morella inodora (W. Bartram) Small","scentless bayberry"
"MOPE6","","Morella pensylvanica (Mirb.) Kartesz","northern bayberry"
"MOCI3","","Morinda citrifolia L.","Indian mulberry"
"MOAL","","Morus alba L.","white mulberry"
"MORU2","","Morus rubra L.","red mulberry"
"MUAS","","Muhlenbergia asperifolia (Nees & Meyen ex Trin.) Parodi","scratchgrass"
"MUCA2","","Muhlenbergia capillaris (Lam.) Trin.","hairawn muhly"
"MUFI3","MUCAF","Muhlenbergia capillaris (Lam.) Trin. var. filipes (M.A. Curtis) Chapm. ex Beal","gulfhairawn muhly"
"MUCU3","","Muhlenbergia cuspidata (Torr. ex Hook.) Rydb.","plains muhly"
"MUFI3","","Muhlenbergia filipes M.A. Curtis","gulfhairawn muhly"
"MUFR2","","Muhlenbergia frondosa (Poir.) Fernald","wirestem muhly"
"MUGL3","","Muhlenbergia glomerata (Willd.) Trin.","spiked muhly"
"MUME2","","Muhlenbergia mexicana (L.) Trin.","Mexican muhly"
"MUMO","","Muhlenbergia montana (Nutt.) Hitchc.","mountain muhly"
"MUPO2","","Muhlenbergia porteri Scribn. ex Beal","bush muhly"
"MUPU2","","Muhlenbergia pungens Thurb.","sandhill muhly"
"MURA","","Muhlenbergia racemosa (Michx.) Britton, Sterns & Poggenb.","marsh muhly"
"MURE","","Muhlenbergia repens (J. Presl) Hitchc.","creeping muhly"
"MURI","","Muhlenbergia richardsonis (Trin.) Rydb.","mat muhly"
"MURI2","","Muhlenbergia rigens (Benth.) Hitchc.","deergrass"
"MUSC","","Muhlenbergia schreberi J.F. Gmel.","nimblewill"
"MUSY","","Muhlenbergia sylvatica (Torr.) Torr. ex A. Gray","woodland muhly"
"MUUN","","Muhlenbergia uniflora (Muhl.) Fernald","bog muhly"
"MUWR","","Muhlenbergia wrightii Vasey ex J.M. Coult.","spike muhly"
"MYSA","","Myoporum sandwicense (A. DC.) A. Gray","naio"
"MYSC","","Myosotis scorpioides L.","true forget-me-not"
"MYAPB","","Myosurus apetalus C. Gay var. borealis Whittemore","bristly mousetail"
"MYMI2","","Myosurus minimus L.","tiny mousetail"
"MYGA","","Myrica gale L.","sweetgale"
"NAFL","","Najas flexilis (Willd.) Rostk. & Schmidt","nodding waternymph"
"NAGU","","Najas guadalupensis (Spreng.) Magnus","southern waternymph"
"NAMI","","Najas minor All.","brittle waternymph"
"NADO","","Nandina domestica Thunb.","sacred bamboo"
"NACE","","Nassella cernua (Stebbins & R.M. Love) Barkworth","nodding needlegrass"
"NALE2","","Nassella lepida (Hitchc.) Barkworth","foothill needlegrass"
"NAPU4","","Nassella pulchra (Hitchc.) Barkworth","purple needlegrass"
"NAVI4","","Nassella viridula (Trin.) Barkworth","green needlegrass"
"NECO","","Nectandra coriacea (Sw.) Griseb.","lancewood"
"NEAR5","","Nekemias arborea (L.) J. Wen & Boggan","peppervine"
"NELU","","Nelumbo lutea Willd.","American lotus"
"NEMA","","Nemophila maculata Benth. ex Lindl.","fivespot"
"NEWI2","","Neonotonia wightii (Wight & Arn.) Lackey","perennial soybean"
"NEOL","","Nerium oleander L.","oleander"
"NIOC2","","Nitrophila occidentalis (Moq.) S. Watson","boraxweed"
"NOMI","","Nolina microcarpa S. Watson","sacahuista"
"NODE3","","Notholithocarpus densiflorus (Hook. & Arn.) P.S. Manos, C.H. Cannon, & S.H. Oh","tanoak"
"NULUP","","Nuphar lutea (L.) Sm. ssp. polysepala (Engelm.) E.O. Beal","Rocky Mountain pond-lily"
"NYME","","Nymphaea mexicana Zucc.","yellow waterlily"
"NYAQ2","","Nyssa aquatica L.","water tupelo"
"NYBI","","Nyssa biflora Walter","swamp tupelo"
"NYOG","","Nyssa ogeche W. Bartram ex Marshall","Ogeechee tupelo"
"NYSY","","Nyssa sylvatica Marshall","blackgum"
"OCFL","","Ocotea floribunda (Sw.) Mez","laurel espada"
"OCLE","","Ocotea leucoxylon (Sw.) De Laness.","loblolly sweetwood"
"OCMO","","Ocotea moschata (Pav. ex Meisn.) Mez","nemoca"
"OCSP","","Ocotea spathulata Mez","nemoca cimarrona"
"OECE","","Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon","Indian plum"
"OEBI","","Oenothera biennis L.","common evening primrose"
"OECA10","","Oenothera caespitosa Nutt.","tufted evening primrose"
"OEEL","","Oenothera elata Kunth","Hooker's evening primrose"
"OEELH2","","Oenothera elata Kunth ssp. hookeri (Torr. & A. Gray) W. Dietr. & W.L. Wagner","Hooker's evening primrose"
"OEFL","","Oenothera flava (A. Nelson) Garrett","yellow evening primrose"
"OEFR","","Oenothera fruticosa L.","narrowleaf evening primrose"
"OEPA","","Oenothera pallida Lindl.","pale evening primrose"
"OEPI2","","Oenothera pilosella Raf.","meadow evening primrose"
"OLRIR","","Oligoneuron rigidum (L.) Small var. rigidum ","stiff goldenrod"
"OLTE","","Olneya tesota A. Gray","desert ironwood"
"OLDOD","","Olsynium douglasii (A. Dietr.) E.P. Bicknell var. douglasii ","Douglas' grasswidow"
"ONVI","","Onobrychis viciifolia Scop.","sainfoin"
"OPDI3","","Opuntia dillenii (Ker Gawl.) Haw.","erect pricklypear"
"OPFI","","Opuntia ficus-indica (L.) Mill.","Barbary fig"
"OPPO","","Opuntia polyacantha Haw.","plains pricklypear"
"OPDI3","OPSTD","Opuntia stricta (Haw.) Haw. var. dillenii (Ker Gawl.) L.D. Benson","erect pricklypear"
"ORLU2","","Orthocarpus luteus Nutt.","yellow owl's-clover"
"ORTE2","","Orthocarpus tenuifolius (Pursh) Benth.","thinleaved owl's-clover"
"OSHE","","Osmanthus heterophyllus (G. Don) P.S. Green","holly osmanthus"
"OSDE","","Osmorhiza depauperata Phil.","bluntseed sweetroot"
"OSOC","","Osmorhiza occidentalis (Nutt. ex Torr. & A. Gray) Torr.","western sweetroot"
"OSCI","","Osmunda cinnamomea L.","cinnamon fern"
"OSCL2","","Osmunda claytoniana L.","interrupted fern"
"OSRE","","Osmunda regalis L.","royal fern"
"OSRES","","Osmunda regalis L. var. spectabilis (Willd.) A. Gray","royal fern"
"OSAN","","Osteomeles anthyllidifolia (Sm.) Lindl.","Hawai'i hawthorn"
"OSVI","","Ostrya virginiana (Mill.) K. Koch","hophornbeam"
"OXAR","","Oxydendrum arboreum (L.) DC.","sourwood"
"OXDI3","","Oxyria digyna (L.) Hill","alpine mountainsorrel"
"OXLA3","","Oxytropis lambertii Pursh","purple locoweed"
"OXSP","","Oxytropis splendens Douglas ex Hook.","showy locoweed"
"PATE11","","Pachysandra terminalis Siebold & Zucc.","Japanese pachysandra"
"PAAU3","","Packera aurea (L.) Á. Löve & D. Löve","golden ragwort"
"PACA15","","Packera cana (Hook.) W.A. Weber & Á. Löve","woolly groundsel"
"PAGL17","","Packera glabella (Poir.) C. Jeffrey","butterweed"
"PATR7","","Packera tridenticulata (Rydb.) W.A. Weber & Á. Löve","threetooth ragwort"
"PABR","","Paeonia brownii Douglas ex Hook.","Brown's peony"
"PATE2","","Pandanus tectorius Parkinson ex Zucc.","Tahitian screwpine"
"PAAM2","","Panicum amarum Elliott","bitter panicgrass"
"PAAN4","","Panicum antidotale Retz.","blue panicum"
"PACO2","","Panicum coloratum L.","kleingrass"
"PADI","","Panicum dichotomiflorum Michx.","fall panicgrass"
"PAHE2","","Panicum hemitomon Schult.","maidencane"
"PAMI2","","Panicum miliaceum L.","proso millet"
"PAOB","","Panicum obtusum Kunth","vine mesquite"
"PARI4","","Panicum rigidulum Bosc ex Nees","redtop panicgrass"
"PAVI2","","Panicum virgatum L.","switchgrass"
"PAGO4","","Papaver gorodkovii Tolm. & V.V. Petrovsky","arctic poppy"
"PAFI3","","Parnassia fimbriata K.D. Koenig","fringed grass of Parnassus"
"PAPA8","","Parnassia palustris L.","marsh grass of Parnassus"
"PAQU2","","Parthenocissus quinquefolia (L.) Planch.","Virginia creeper"
"PATR6","","Parthenocissus tricuspidata (Siebold & Zucc.) Planch.","Boston ivy"
"PASM","","Pascopyrum smithii (Rydb.) Á. Löve","western wheatgrass"
"PACO14","","Paspalum conjugatum P.J. Bergius","hilograss"
"PADE24","","Paspalum denticulatum Trin.","longtom"
"PADI3","","Paspalum dilatatum Poir.","dallisgrass"
"PADI6","","Paspalum distichum L.","knotgrass"
"PAFL5","","Paspalum fluitans (Elliott) Kunth","horsetail paspalum"
"PAHI13","","Paspalum hieronymi Hack.","paspalum"
"PALA10","","Paspalum laeve Michx.","field paspalum"
"PADE24","PALI7","Paspalum lividum Trin.","longtom"
"PANI3","","Paspalum nicorae Parodi","Brunswickgrass"
"PANOS","","Paspalum notatum Flueggé var. saurae Parodi","bahiagrass"
"PAPL3","","Paspalum plicatulum Michx.","brownseed paspalum"
"PAVA","","Paspalum vaginatum Sw.","seashore paspalum"
"PALU2","","Passiflora lutea L.","yellow passionflower"
"PATO2","","Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.","princesstree"
"PEAN","","Pectis angustifolia Torr.","lemonscent"
"PECA","","Pedicularis canadensis L.","Canadian lousewort"
"PEGR2","","Pedicularis groenlandica Retz.","elephanthead lousewort"
"PEVI","","Peltandra virginica (L.) Schott","green arrow arum"
"PEAL","","Pennisetum alopecuroides (L.) Spreng.","Chinese fountaingrass"
"PECI","","Pennisetum ciliare (L.) Link","buffelgrass"
"PEFL18","","Pennisetum flaccidum Griseb.","flaccidgrass"
"PEGL2","","Pennisetum glaucum (L.) R. Br.","pearl millet"
"PEPU2","","Pennisetum purpureum Schumach.","elephant grass"
"PESE3","","Pennisetum setaceum (Forssk.) Chiov.","crimson fountaingrass"
"PEAC","","Penstemon acuminatus Douglas ex Lindl.","sharpleaf penstemon"
"PEAL11","","Penstemon albertinus Greene","Alberta beardtongue"
"PEAN4","","Penstemon angustifolius Nutt. ex Pursh","broadbeard beardtongue"
"PECO6","","Penstemon confertus Douglas ex Lindl.","yellow penstemon"
"PECY2","","Penstemon cyananthus Hook.","Wasatch beardtongue"
"PEDE4","","Penstemon deustus Douglas ex Lindl.","scabland penstemon"
"PEDI","","Penstemon digitalis Nutt. ex Sims","foxglove beardtongue"
"PEEA","","Penstemon eatonii A. Gray","firecracker penstemon"
"PEFR3","","Penstemon fruticosus (Pursh) Greene","bush penstemon"
"PEGA","","Penstemon gairdneri Hook.","Gairdner's beardtongue"
"PEGL3","","Penstemon glaber Pursh","sawsepal penstemon"
"PEHA18","","Penstemon hartwegii Benth.","Hartweg's beardtongue"
"PEHEP","","Penstemon heterophyllus Lindl. ssp. purdyi D.D. Keck","Purdy's penstemon"
"PELA7","","Penstemon laetus A. Gray","mountain blue penstemon"
"PELY2","","Penstemon lyallii (A. Gray) A. Gray","Lyall's beardtongue"
"PENE3","","Penstemon newberryi A. Gray","mountain pride"
"PEPA8","","Penstemon palmeri A. Gray","Palmer's penstemon"
"PERY","","Penstemon rydbergii A. Nelson","Rydberg's penstemon"
"PESP","","Penstemon speciosus Douglas ex Lindl.","royal penstemon"
"PEST2","","Penstemon strictus Benth.","Rocky Mountain penstemon"
"PEVE2","","Penstemon venustus Douglas ex Lindl.","Venus penstemon"
"PEWH","","Penstemon whippleanus A. Gray","Whipple's penstemon"
"PEWI","","Penstemon wilcoxii Rydb.","Wilcox's penstemon"
"PESE6","","Penthorum sedoides L.","ditch stonecrop"
"PEGA3","","Perideridia gairdneri (Hook. & Arn.) Mathias","Gardner's yampah"
"PEPA21","","Perideridia parishii (J.M. Coult. & Rose) A. Nelson & J.F. Macbr.","Parish's yampah"
"PEBO","","Persea borbonia (L.) Spreng.","redbay"
"PEPA37","","Persea palustris (Raf.) Sarg.","swamp bay"
"PEFRS5","","Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky","arrowleaf sweet coltsfoot"
"PEFRS5","PESA5","Petasites sagittatus (Banks ex Pursh) A. Gray","arrowleaf sweet coltsfoot"
"PEDO","","Petitia domingensis Jacq.","bastard stopper"
"PHHA","","Phacelia hastata Douglas ex Lehm.","silverleaf phacelia"
"PHTA","","Phacelia tanacetifolia Benth.","lacy phacelia"
"PHAQ","","Phalaris aquatica L.","bulbous canarygrass"
"PHAR3","","Phalaris arundinacea L.","reed canarygrass"
"PHCO7","","Philadelphus coronarius L.","sweet mock orange"
"PHLE4","","Philadelphus lewisii Pursh","Lewis' mock orange"
"PHMI4","","Philadelphus microphyllus A. Gray","littleleaf mock orange"
"PHAL2","","Phleum alpinum L.","alpine timothy"
"PHPR3","","Phleum pratense L.","timothy"
"PHDI3","","Phlox diffusa Benth.","spreading phlox"
"PHDI5","","Phlox divaricata L.","wild blue phlox"
"PHGL4","","Phlox glaberrima L.","smooth phlox"
"PHLO2","","Phlox longifolia Nutt.","longleaf phlox"
"PHMAM","","Phlox maculata L. ssp. maculata ","wild sweetwilliam"
"PHSU3","","Phlox subulata L.","moss phlox"
"PHFR9","","Photinia ×fraseri Dress","Fraser's photinia"
"ARME6","PHME13","Photinia melanocarpa (Michx.) K.R. Robertson & Phipps","black chokeberry"
"ARAR7","PHPY4","Photinia pyrifolia (Lam.) K.R. Robertson & Phipps","red chokeberry"
"PHAU7","","Phragmites australis (Cav.) Trin. ex Steud.","common reed"
"PHNO2","","Phyla nodiflora (L.) Greene","turkey tangle fogfruit"
"PHBR4","","Phyllodoce breweri (A. Gray) A. Heller","purple mountainheath"
"PHAU8","","Phyllostachys aurea Carrière ex A. Rivière & C. Rivière","golden bamboo"
"PHCA11","","Physocarpus capitatus (Pursh) Kuntze","Pacific ninebark"
"PHMA5","","Physocarpus malvaceus (Greene) Kuntze","mallow ninebark"
"PHOP","","Physocarpus opulifolius (L.) Maxim., orth. cons.","common ninebark"
"PHAM4","","Phytolacca americana L.","American pokeweed"
"PIAB","","Picea abies (L.) Karst.","Norway spruce"
"PIBR","","Picea breweriana S. Watson","Brewer spruce"
"PIEN","","Picea engelmannii Parry ex Engelm.","Engelmann spruce"
"PIGL","","Picea glauca (Moench) Voss","white spruce"
"PIMA","","Picea mariana (Mill.) Britton, Sterns & Poggenb.","black spruce"
"PIPU","","Picea pungens Engelm.","blue spruce"
"PIRU","","Picea rubens Sarg.","red spruce"
"PISI","","Picea sitchensis (Bong.) Carrière","Sitka spruce"
"PIDE4","","Picrothamnus desertorum Nutt.","bud sagebrush"
"PIAC","","Pictetia aculeata (Vahl) Urb.","fustic"
"PIJA3","","Pieris japonica (Thunb.) D. Don ex G. Don","Japanese pieris"
"PIAL","","Pinus albicaulis Engelm.","whitebark pine"
"PIAR","","Pinus aristata Engelm.","bristlecone pine"
"PIBA2","","Pinus banksiana Lamb.","jack pine"
"PICA15","","Pinus canariensis C. Sm.","Canary Island pine"
"PICE","","Pinus cembroides Zucc.","Mexican pinyon"
"PICL","","Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.","sand pine"
"PICO","","Pinus contorta Douglas ex Loudon","lodgepole pine"
"PICOC","","Pinus contorta Douglas ex Loudon var. contorta ","beach pine"
"PICO3","","Pinus coulteri D. Don","Coulter pine"
"PIEC2","","Pinus echinata Mill.","shortleaf pine"
"PIED","","Pinus edulis Engelm.","twoneedle pinyon"
"PIEL","","Pinus elliottii Engelm.","slash pine"
"PIFL2","","Pinus flexilis James","limber pine"
"PIGL2","","Pinus glabra Walter","spruce pine"
"PIJE","","Pinus jeffreyi Balf.","Jeffrey pine"
"PILA","","Pinus lambertiana Douglas","sugar pine"
"PIMO","","Pinus monophylla Torr. & Frém.","singleleaf pinyon"
"PIMO3","","Pinus monticola Douglas ex D. Don","western white pine"
"PIMU80","","Pinus mugo Turra","mugo pine"
"PIMU","","Pinus muricata D. Don","Bishop pine"
"PINI","","Pinus nigra Arnold","Austrian pine"
"PIPA2","","Pinus palustris Mill.","longleaf pine"
"PIPO","","Pinus ponderosa Lawson & C. Lawson","ponderosa pine"
"PIPU5","","Pinus pungens Lamb.","Table Mountain pine"
"PIRA2","","Pinus radiata D. Don","Monterey pine"
"PIRE","","Pinus resinosa Aiton","red pine"
"PIRI","","Pinus rigida Mill.","pitch pine"
"PISA2","","Pinus sabiniana Douglas ex Douglas","California foothill pine"
"PISE","","Pinus serotina Michx.","pond pine"
"PIST","","Pinus strobus L.","eastern white pine"
"PISY","","Pinus sylvestris L.","Scots pine"
"PITA","","Pinus taeda L.","loblolly pine"
"PITH2","PITH3","Pinus thunbergiana Franco","Japanese black pine"
"PITH2","","Pinus thunbergii Parl.","Japanese black pine"
"PIVI2","","Pinus virginiana Mill.","Virginia pine"
"PIME","","Piper methysticum G. Forst.","kava"
"PIMI","","Piptatheropsis micrantha (Trin. & Rupr.) Romasch., P.M. Peterson & R.J. Soreng","littleseed ricegrass"
"PIMI","PIMI7","Piptatherum micranthum (Trin. & Rupr.) Barkworth","littleseed ricegrass"
"PIAL2","","Pipturus albidus (Hook. & Arn.) A. Gray","Waimea pipturus"
"PIAL3","","Pisonia albida (Heimerl) Britton ex Standl.","corcho bobo"
"PITO2","","Pittosporum tobira (Thunb.) W.T. Aiton","Japanese cheesewood"
"PIVI5","","Pittosporum viridiflorum Sims","Cape cheesewood"
"PIGR4","","Pityopsis graminifolia (Michx.) Nutt.","narrowleaf silkgrass"
"PLSA2","","Planchonella sandwicensis (A. Gray) Pierre","'ala'a"
"PLAQ","","Planera aquatica J.F. Gmel.","planertree"
"PLMA2","","Plantago major L.","common plantain"
"PLPA2","","Plantago patagonica Jacq.","woolly plantain"
"PLHI","","Platanus ×hispanica Mill. ex Münchh. [occidentalis × orientalis]","London planetree"
"PLHI","PLHY3","Platanus hybrida Brot.","London planetree"
"PLOC","","Platanus occidentalis L.","American sycamore"
"PLRA","","Platanus racemosa Nutt.","California sycamore"
"PLWR2","","Platanus wrightii S. Watson","Arizona sycamore"
